"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Delete exercise","LMS service","Sat Oct 25 12:15:32 GMT 2025","passed","Sat Oct 25 12:15:32 GMT 2025","Delete entity","Exercises","",""
"","254","Create file with empty directory","LMS service","Sat Oct 25 12:15:33 GMT 2025","passed","Sat Oct 25 12:15:34 GMT 2025","Validate entity","Files","",""
"","10","Get file with incorrect file id","LMS service","Sat Oct 25 12:15:34 GMT 2025","passed","Sat Oct 25 12:15:34 GMT 2025","Validate entity","Files","",""
"","19","Get files","LMS service","Sat Oct 25 12:15:33 GMT 2025","passed","Sat Oct 25 12:15:33 GMT 2025","Get entities","Files","",""
"","20","Get exercise","LMS service","Sat Oct 25 12:15:29 GMT 2025","passed","Sat Oct 25 12:15:30 GMT 2025","Get entity","Exercises","",""
"","37","Update exercise","LMS service","Sat Oct 25 12:15:30 GMT 2025","passed","Sat Oct 25 12:15:30 GMT 2025","Update entity","Exercises","",""
"","299","Delete user","LMS service","Sat Oct 25 12:15:37 GMT 2025","passed","Sat Oct 25 12:15:37 GMT 2025","Delete entity","Users","",""
"","16","Get file","LMS service","Sat Oct 25 12:15:32 GMT 2025","passed","Sat Oct 25 12:15:32 GMT 2025","Get entity","Files","",""
"","287","Create exercise","LMS service","Sat Oct 25 12:15:28 GMT 2025","passed","Sat Oct 25 12:15:28 GMT 2025","Create entity","Exercises","",""
"","317","Update course","LMS service","Sat Oct 25 12:15:28 GMT 2025","passed","Sat Oct 25 12:15:28 GMT 2025","Update entity","Courses","",""
"","258","Create file with empty filename","LMS service","Sat Oct 25 12:15:33 GMT 2025","passed","Sat Oct 25 12:15:33 GMT 2025","Validate entity","Files","",""
"","18","Get user","LMS service","Sat Oct 25 12:15:36 GMT 2025","passed","Sat Oct 25 12:15:36 GMT 2025","Get entity","Users","",""
"","24","Update user","LMS service","Sat Oct 25 12:15:37 GMT 2025","passed","Sat Oct 25 12:15:37 GMT 2025","Update entity","Users","",""
"","56","Create file","LMS service","Sat Oct 25 12:15:30 GMT 2025","passed","Sat Oct 25 12:15:30 GMT 2025","Create entity","Files","",""
"","12","Get current user","LMS service","Sat Oct 25 12:15:36 GMT 2025","passed","Sat Oct 25 12:15:36 GMT 2025","Get entity","Users","",""
"","359","Get exercises","LMS service","Sat Oct 25 12:15:29 GMT 2025","passed","Sat Oct 25 12:15:29 GMT 2025","Get entities","Exercises","",""
"","657","Get courses","LMS service","Sat Oct 25 12:15:26 GMT 2025","passed","Sat Oct 25 12:15:27 GMT 2025","Get entities","Courses","",""
"","308","Login user with valid credentials","LMS service","Sat Oct 25 12:15:23 GMT 2025","passed","Sat Oct 25 12:15:24 GMT 2025","Login","Authentication","",""
"","327","Refresh user's tokens","LMS service","Sat Oct 25 12:15:24 GMT 2025","passed","Sat Oct 25 12:15:25 GMT 2025","Login","Authentication","",""
"","60","Create course","LMS service","Sat Oct 25 12:15:26 GMT 2025","passed","Sat Oct 25 12:15:26 GMT 2025","Create entity","Courses","",""
"","557","Create user","LMS service","Sat Oct 25 12:15:34 GMT 2025","passed","Sat Oct 25 12:15:34 GMT 2025","Create entity","Users","",""
"","301","Delete course","LMS service","Sat Oct 25 12:15:27 GMT 2025","passed","Sat Oct 25 12:15:27 GMT 2025","Delete entity","Courses","",""
"","548","Create user","LMS service","Sat Oct 25 12:15:34 GMT 2025","passed","Sat Oct 25 12:15:35 GMT 2025","Create entity","Users","",""
"","285","Create user","LMS service","Sat Oct 25 12:15:34 GMT 2025","passed","Sat Oct 25 12:15:35 GMT 2025","Create entity","Users","",""
"","291","Get course","LMS service","Sat Oct 25 12:15:24 GMT 2025","passed","Sat Oct 25 12:15:25 GMT 2025","Get entity","Courses","",""
